idx	run_id	config_path	out_dir	topology	arch	target_L0	coeff	calib_achieved_L0	seed
40	helix_jumprelu_t16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t16_seed1	helix	jumprelu	16	0.6	16.22	1
41	helix_jumprelu_t16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t16_seed2	helix	jumprelu	16	0.6	16.22	2
42	helix_jumprelu_t24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t24_seed0	helix	jumprelu	24	0.5	25.96	0
43	helix_jumprelu_t24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t24_seed1	helix	jumprelu	24	0.5	25.96	1
44	helix_jumprelu_t24_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t24_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t24_seed2	helix	jumprelu	24	0.5	25.96	2
45	helix_jumprelu_t32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t32_seed0	helix	jumprelu	32	0.4	33.64	0
46	helix_jumprelu_t32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t32_seed1	helix	jumprelu	32	0.4	33.64	1
47	helix_jumprelu_t32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t32_seed2	helix	jumprelu	32	0.4	33.64	2
48	sphere_relu_l1_t08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t08_seed0	sphere	relu_l1	8	0.02	8.85	0
49	sphere_relu_l1_t08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t08_seed1	sphere	relu_l1	8	0.02	8.85	1
50	sphere_relu_l1_t08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t08_seed2	sphere	relu_l1	8	0.02	8.85	2
51	sphere_relu_l1_t16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t16_seed0	sphere	relu_l1	16	0.003	16.19	0
52	sphere_relu_l1_t16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t16_seed1	sphere	relu_l1	16	0.003	16.19	1
53	sphere_relu_l1_t16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t16_seed2	sphere	relu_l1	16	0.003	16.19	2
54	sphere_relu_l1_t24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t24_seed0	sphere	relu_l1	24	0.0005	21.09	0
55	sphere_relu_l1_t24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t24_seed1	sphere	relu_l1	24	0.0005	21.09	1
56	sphere_relu_l1_t24_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t24_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t24_seed2	sphere	relu_l1	24	0.0005	21.09	2
57	sphere_relu_l1_t32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t32_seed0	sphere	relu_l1	32	0.0003	32.66	0
58	sphere_relu_l1_t32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t32_seed1	sphere	relu_l1	32	0.0003	32.66	1
59	sphere_relu_l1_t32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_relu_l1_t32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/relu_l1/t32_seed2	sphere	relu_l1	32	0.0003	32.66	2
60	sphere_jumprelu_t08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_jumprelu_t08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/jumprelu/t08_seed0	sphere	jumprelu	8	0.0002	9.01	0
61	sphere_jumprelu_t08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_jumprelu_t08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/jumprelu/t08_seed1	sphere	jumprelu	8	0.0002	9.01	1
