idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
119	sphere_topk_k03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k03_seed2	sphere	topk	k	3	2
120	sphere_topk_k04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k04_seed0	sphere	topk	k	4	0
121	sphere_topk_k04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k04_seed1	sphere	topk	k	4	1
122	sphere_topk_k04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k04_seed2	sphere	topk	k	4	2
123	sphere_topk_k06_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k06_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k06_seed0	sphere	topk	k	6	0
124	sphere_topk_k06_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k06_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k06_seed1	sphere	topk	k	6	1
125	sphere_topk_k06_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k06_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k06_seed2	sphere	topk	k	6	2
126	sphere_topk_k08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k08_seed0	sphere	topk	k	8	0
127	sphere_topk_k08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k08_seed1	sphere	topk	k	8	1
128	sphere_topk_k08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/sphere_topk_k08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k08_seed2	sphere	topk	k	8	2
